Search Query,Choose Embedding Model,output,timestamp
Neil Young,Ollama,An error occurred: different vector dimensions 1536 and 768,2025-07-01 10:33:32.686100
article related to persons,HuggingFace,Failed to get embedding for the query using HuggingFace. Check model setup or API key.,2025-07-01 10:53:23.758446
